2024-09-13 02:02:40.301 [info] Extension host with pid 3450 started
2024-09-13 02:02:40.309 [info] Lock '/home/ec2-user/.vscode-server/data/User/workspaceStorage/db31ba997216474c36ff9e14015eaca0/vscode.lock': Lock acquired.
2024-09-13 02:02:41.569 [info] Eager extensions activated
2024-09-13 02:02:44.326 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-09-13 02:02:44.329 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2024-09-13 02:02:44.330 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-09-13 02:02:44.502 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2024-09-13 02:02:44.502 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2024-09-13 02:04:17.999 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-09-13 02:05:05.324 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2024-09-13 02:06:11.754 [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:css'
2024-09-13 02:06:53.933 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2024-09-13 02:08:12.260 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2024-09-13 02:08:18.512 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-09-13 02:08:18.513 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-09-13 02:08:18.513 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2024-09-13 02:28:17.979 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
